SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
226,Kabini,2011,3,21-JAN-2011,16.56,2279.14,252,50,Kabini_2011_321-JAN-2011
227,Kabini,2011,3,20-JAN-2011,16.54,2279.12,318,50,Kabini_2011_320-JAN-2011
312,Kabini,2011,4,22-JAN-2011,16.57,2279.16,252,50,Kabini_2011_422-JAN-2011
313,Kabini,2011,4,23-JAN-2011,16.58,2279.18,252,50,Kabini_2011_423-JAN-2011
314,Kabini,2011,4,24-JAN-2011,16.59,2279.20,252,50,Kabini_2011_424-JAN-2011
315,Kabini,2011,4,25-JAN-2011,16.60,2279.22,252,50,Kabini_2011_425-JAN-2011
316,Kabini,2011,4,26-JAN-2011,16.61,2279.24,186,50,Kabini_2011_426-JAN-2011
317,Kabini,2011,4,27-JAN-2011,16.61,2279.24,186,50,Kabini_2011_427-JAN-2011
318,Kabini,2011,4,28-JAN-2011,16.55,2279.13,225,881,Kabini_2011_428-JAN-2011
403,Kabini,2011,5,29-JAN-2011,16.47,2278.99,148,1000,Kabini_2011_529-JAN-2011
404,Kabini,2011,5,30-JAN-2011,16.41,2278.89,150,725,Kabini_2011_530-JAN-2011
405,Kabini,2011,5,31-JAN-2011,16.36,2278.79,125,700,Kabini_2011_531-JAN-2011
406,Kabini,2011,5,01-FEB-2011,16.30,2278.69,125,700,Kabini_2011_501-FEB-2011
407,Kabini,2011,5,02-FEB-2011,16.25,2278.59,128,700,Kabini_2011_502-FEB-2011
408,Kabini,2011,5,03-FEB-2011,16.19,2278.49,128,700,Kabini_2011_503-FEB-2011
409,Kabini,2011,5,04-FEB-2011,16.19,2278.48,139,131,Kabini_2011_504-FEB-2011
494,Kabini,2011,6,05-FEB-2011,16.19,2278.48,123,50,Kabini_2011_605-FEB-2011
495,Kabini,2011,6,06-FEB-2011,16.19,2278.48,123,50,Kabini_2011_606-FEB-2011
496,Kabini,2011,6,07-FEB-2011,16.19,2278.48,123,50,Kabini_2011_607-FEB-2011
497,Kabini,2011,6,08-FEB-2011,16.19,2278.48,123,50,Kabini_2011_608-FEB-2011
498,Kabini,2011,6,09-FEB-2011,16.19,2278.48,123,50,Kabini_2011_609-FEB-2011
499,Kabini,2011,6,10-FEB-2011,16.19,2278.48,123,50,Kabini_2011_610-FEB-2011
500,Kabini,2011,6,11-FEB-2011,16.15,2278.42,119,433,Kabini_2011_611-FEB-2011
585,Kabini,2011,7,12-FEB-2011,16.09,2278.31,114,750,Kabini_2011_712-FEB-2011
586,Kabini,2011,7,13-FEB-2011,16.03,2278.20,114,750,Kabini_2011_713-FEB-2011
587,Kabini,2011,7,14-FEB-2011,15.97,2278.09,133,770,Kabini_2011_714-FEB-2011
588,Kabini,2011,7,15-FEB-2011,15.91,2277.98,134,770,Kabini_2011_715-FEB-2011
589,Kabini,2011,7,16-FEB-2011,15.85,2277.87,138,770,Kabini_2011_716-FEB-2011
590,Kabini,2011,7,17-FEB-2011,15.79,2277.76,138,770,Kabini_2011_717-FEB-2011
591,Kabini,2011,7,18-FEB-2011,15.73,2277.65,138,770,Kabini_2011_718-FEB-2011
