SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
16,Alamatti,2011,1,01-JAN-2011,104.52,1701.07,0,6533,Alamatti_2011_101-JAN-2011
17,Alamatti,2011,1,02-JAN-2011,103.77,1700.90,0,6463,Alamatti_2011_102-JAN-2011
18,Alamatti,2011,1,03-JAN-2011,103.32,1700.80,0,5033,Alamatti_2011_103-JAN-2011
19,Alamatti,2011,1,04-JAN-2011,102.86,1700.71,0,5001,Alamatti_2011_104-JAN-2011
20,Alamatti,2011,1,05-JAN-2011,102.41,1700.61,0,5033,Alamatti_2011_105-JAN-2011
21,Alamatti,2011,1,06-JAN-2011,101.96,1700.51,0,5004,Alamatti_2011_106-JAN-2011
22,Alamatti,2011,1,07-JAN-2011,101.52,1700.41,0,5054,Alamatti_2011_107-JAN-2011
100,Alamatti,2011,2,08-JAN-2011,101.08,1700.31,0,5054,Alamatti_2011_208-JAN-2011
101,Alamatti,2011,2,09-JAN-2011,100.64,1700.21,0,5054,Alamatti_2011_209-JAN-2011
102,Alamatti,2011,2,10-JAN-2011,100.20,1700.15,0,5054,Alamatti_2011_210-JAN-2011
103,Alamatti,2011,2,11-JAN-2011,99.76,1700.02,0,5054,Alamatti_2011_211-JAN-2011
104,Alamatti,2011,2,12-JAN-2011,99.32,1699.19,0,5054,Alamatti_2011_212-JAN-2011
105,Alamatti,2011,2,13-JAN-2011,98.73,1699.79,0,5070,Alamatti_2011_213-JAN-2011
106,Alamatti,2011,2,14-JAN-2011,98.14,1699.66,0,5156,Alamatti_2011_214-JAN-2011
184,Alamatti,2011,3,15-JAN-2011,97.55,1699.53,0,5156,Alamatti_2011_315-JAN-2011
185,Alamatti,2011,3,16-JAN-2011,97.14,1699.43,0,5075,Alamatti_2011_316-JAN-2011
186,Alamatti,2011,3,17-JAN-2011,96.58,1699.30,0,5188,Alamatti_2011_317-JAN-2011
187,Alamatti,2011,3,18-JAN-2011,96.03,1699.16,0,5178,Alamatti_2011_318-JAN-2011
188,Alamatti,2011,3,19-JAN-2011,95.47,1699.03,0,5146,Alamatti_2011_319-JAN-2011
189,Alamatti,2011,3,20-JAN-2011,94.64,1698.84,0,9643,Alamatti_2011_320-JAN-2011
190,Alamatti,2011,3,21-JAN-2011,92.59,1698.34,0,23650,Alamatti_2011_321-JAN-2011
270,Alamatti,2011,4,22-JAN-2011,90.60,1697.35,0,22571,Alamatti_2011_422-JAN-2011
271,Alamatti,2011,4,23-JAN-2011,88.89,1697.43,0,19473,Alamatti_2011_423-JAN-2011
272,Alamatti,2011,4,24-JAN-2011,87.67,1697.10,0,14707,Alamatti_2011_424-JAN-2011
273,Alamatti,2011,4,25-JAN-2011,86.46,1696.80,0,12707,Alamatti_2011_425-JAN-2011
274,Alamatti,2011,4,26-JAN-2011,85.32,1696.51,0,12707,Alamatti_2011_426-JAN-2011
275,Alamatti,2011,4,27-JAN-2011,84.22,1696.21,0,12707,Alamatti_2011_427-JAN-2011
276,Alamatti,2011,4,28-JAN-2011,82.88,1695.85,0,14599,Alamatti_2011_428-JAN-2011
361,Alamatti,2011,5,29-JAN-2011,81.65,1695.52,0,13529,Alamatti_2011_529-JAN-2011
362,Alamatti,2011,5,30-JAN-2011,80.72,1695.26,0,10554,Alamatti_2011_530-JAN-2011
363,Alamatti,2011,5,31-JAN-2011,79.90,1695.03,0,9064,Alamatti_2011_531-JAN-2011
364,Alamatti,2011,5,01-FEB-2011,78.97,1694.77,0,10425,Alamatti_2011_501-FEB-2011
365,Alamatti,2011,5,02-FEB-2011,78.15,1694.54,0,9035,Alamatti_2011_502-FEB-2011
366,Alamatti,2011,5,03-FEB-2011,77.87,1694.31,0,8687,Alamatti_2011_503-FEB-2011
367,Alamatti,2011,5,04-FEB-2011,76.48,1694.05,0,10090,Alamatti_2011_504-FEB-2011
452,Alamatti,2011,6,05-FEB-2011,75.81,1693.85,0,7452,Alamatti_2011_605-FEB-2011
453,Alamatti,2011,6,06-FEB-2011,75.02,1693.62,0,8702,Alamatti_2011_606-FEB-2011
454,Alamatti,2011,6,07-FEB-2011,74.37,1693.42,0,7399,Alamatti_2011_607-FEB-2011
455,Alamatti,2011,6,08-FEB-2011,73.63,1693.19,0,8390,Alamatti_2011_608-FEB-2011
456,Alamatti,2011,6,09-FEB-2011,72.99,1693,0,7101,Alamatti_2011_609-FEB-2011
457,Alamatti,2011,6,10-FEB-2011,72.35,1692.80,0,7203,Alamatti_2011_610-FEB-2011
458,Alamatti,2011,6,11-FEB-2011,71.60,1692.57,0,8434,Alamatti_2011_611-FEB-2011
543,Alamatti,2011,7,12-FEB-2011,70.98,1692.37,0,6921,Alamatti_2011_712-FEB-2011
544,Alamatti,2011,7,13-FEB-2011,70.17,1692.11,0,9119,Alamatti_2011_713-FEB-2011
545,Alamatti,2011,7,14-FEB-2011,69.56,1691.91,0,6770,Alamatti_2011_714-FEB-2011
546,Alamatti,2011,7,15-FEB-2011,68.95,1691.72,0,6732,Alamatti_2011_715-FEB-2011
547,Alamatti,2011,7,16-FEB-2011,68.15,1691.45,0,9025,Alamatti_2011_716-FEB-2011
548,Alamatti,2011,7,17-FEB-2011,66.31,1690.83,0,21037,Alamatti_2011_717-FEB-2011
549,Alamatti,2011,7,18-FEB-2011,64.50,1690.21,0,20664,Alamatti_2011_718-FEB-2011
634,Alamatti,2011,8,19-FEB-2011,62.53,1689.52,0,22567,Alamatti_2011_819-FEB-2011
635,Alamatti,2011,8,20-FEB-2011,61.22,1689.03,0,14967,Alamatti_2011_820-FEB-2011
636,Alamatti,2011,8,21-FEB-2011,60.60,1688.80,0,6903,Alamatti_2011_821-FEB-2011
637,Alamatti,2011,8,22-FEB-2011,59.73,1688.47,0,9731,Alamatti_2011_822-FEB-2011
638,Alamatti,2011,8,23-FEB-2011,59.06,1688.21,0,7430,Alamatti_2011_823-FEB-2011
639,Alamatti,2011,8,24-FEB-2011,58.39,1687.94,0,7411,Alamatti_2011_824-FEB-2011
640,Alamatti,2011,8,25-FEB-2011,57.80,1687.70,0,6555,Alamatti_2011_825-FEB-2011
725,Alamatti,2011,9,26-FEB-2011,57.14,1687.45,0,7299,Alamatti_2011_926-FEB-2011
