SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
79,Supa,2011,1,01-JAN-2011,77.99,1790.03,352,0,Supa_2011_101-JAN-2011
80,Supa,2011,1,02-JAN-2011,77.59,1789.60,394,0,Supa_2011_102-JAN-2011
81,Supa,2011,1,03-JAN-2011,77.25,1789.21,176,0,Supa_2011_103-JAN-2011
82,Supa,2011,1,04-JAN-2011,76.93,1788.88,715,0,Supa_2011_104-JAN-2011
83,Supa,2011,1,05-JAN-2011,76.68,1788.58,347,0,Supa_2011_105-JAN-2011
84,Supa,2011,1,06-JAN-2011,76.45,1788.32,380,0,Supa_2011_106-JAN-2011
85,Supa,2011,1,07-JAN-2011,76.18,1788.03,241,0,Supa_2011_107-JAN-2011
163,Supa,2011,2,08-JAN-2011,75.94,1787.76,572,0,Supa_2011_208-JAN-2011
164,Supa,2011,2,09-JAN-2011,75.63,1787.40,126,0,Supa_2011_209-JAN-2011
165,Supa,2011,2,10-JAN-2011,75.26,1786.98,413,0,Supa_2011_210-JAN-2011
166,Supa,2011,2,11-JAN-2011,74.91,1786.62,503,0,Supa_2011_211-JAN-2011
167,Supa,2011,2,12-JAN-2011,74.63,1786.29,315,0,Supa_2011_212-JAN-2011
168,Supa,2011,2,13-JAN-2011,74.26,1785.86,86,0,Supa_2011_213-JAN-2011
169,Supa,2011,2,14-JAN-2011,73.98,1785.53,670,0,Supa_2011_214-JAN-2011
249,Supa,2011,3,15-JAN-2011,73.70,1785.21,368,0,Supa_2011_315-JAN-2011
250,Supa,2011,3,16-JAN-2011,73.47,1784.94,0,0,Supa_2011_316-JAN-2011
251,Supa,2011,3,17-JAN-2011,73.41,1784.88,1136,0,Supa_2011_317-JAN-2011
252,Supa,2011,3,18-JAN-2011,73.07,1784.52,327,0,Supa_2011_318-JAN-2011
253,Supa,2011,3,19-JAN-2011,72.82,1784.22,850,0,Supa_2011_319-JAN-2011
254,Supa,2011,3,20-JAN-2011,72.51,1783.86,437,0,Supa_2011_320-JAN-2011
255,Supa,2011,3,21-JAN-2011,72.36,1783.70,225,0,Supa_2011_321-JAN-2011
340,Supa,2011,4,22-JAN-2011,72.17,1783.47,0,0,Supa_2011_422-JAN-2011
341,Supa,2011,4,23-JAN-2011,71.86,1783.11,588,0,Supa_2011_423-JAN-2011
342,Supa,2011,4,24-JAN-2011,71.47,1782.61,253,0,Supa_2011_424-JAN-2011
343,Supa,2011,4,25-JAN-2011,71.21,1782.32,437,0,Supa_2011_425-JAN-2011
344,Supa,2011,4,26-JAN-2011,70.87,1781.93,78,0,Supa_2011_426-JAN-2011
345,Supa,2011,4,27-JAN-2011,70.62,1781.63,858,0,Supa_2011_427-JAN-2011
346,Supa,2011,4,28-JAN-2011,70.31,1781.27,858,0,Supa_2011_428-JAN-2011
431,Supa,2011,5,29-JAN-2011,70,1780.91,225,0,Supa_2011_529-JAN-2011
432,Supa,2011,5,30-JAN-2011,69.76,1780.61,830,0,Supa_2011_530-JAN-2011
433,Supa,2011,5,31-JAN-2011,69.58,1780.38,0,0,Supa_2011_531-JAN-2011
434,Supa,2011,5,01-FEB-2011,69.33,1780.09,669,0,Supa_2011_501-FEB-2011
435,Supa,2011,5,02-FEB-2011,68.90,1779.60,400,0,Supa_2011_502-FEB-2011
436,Supa,2011,5,03-FEB-2011,68.59,1779.20,265,0,Supa_2011_503-FEB-2011
437,Supa,2011,5,04-FEB-2011,68.18,1778.71,392,0,Supa_2011_504-FEB-2011
522,Supa,2011,6,05-FEB-2011,67.77,1778.22,499,0,Supa_2011_605-FEB-2011
523,Supa,2011,6,06-FEB-2011,67.39,1777.76,809,0,Supa_2011_606-FEB-2011
524,Supa,2011,6,07-FEB-2011,67.22,1777.53,222,0,Supa_2011_607-FEB-2011
525,Supa,2011,6,08-FEB-2011,66.92,1777.17,166,0,Supa_2011_608-FEB-2011
526,Supa,2011,6,09-FEB-2011,66.59,1776.74,0,0,Supa_2011_609-FEB-2011
527,Supa,2011,6,10-FEB-2011,66.18,1776.25,1243,0,Supa_2011_610-FEB-2011
528,Supa,2011,6,11-FEB-2011,65.86,1775.86,642,0,Supa_2011_611-FEB-2011
613,Supa,2011,7,12-FEB-2011,65.44,1775.33,405,0,Supa_2011_712-FEB-2011
614,Supa,2011,7,13-FEB-2011,65.05,1774.84,531,0,Supa_2011_713-FEB-2011
615,Supa,2011,7,14-FEB-2011,64.78,1774.48,262,0,Supa_2011_714-FEB-2011
616,Supa,2011,7,15-FEB-2011,64.37,1773.99,838,0,Supa_2011_715-FEB-2011
617,Supa,2011,7,16-FEB-2011,63.95,1773.43,92,0,Supa_2011_716-FEB-2011
618,Supa,2011,7,17-FEB-2011,63.52,1772.91,594,0,Supa_2011_717-FEB-2011
619,Supa,2011,7,18-FEB-2011,63.11,1772.38,0,0,Supa_2011_718-FEB-2011
704,Supa,2011,8,19-FEB-2011,62.67,1771.82,323,0,Supa_2011_819-FEB-2011
705,Supa,2011,8,20-FEB-2011,62.03,1771,0,0,Supa_2011_820-FEB-2011
706,Supa,2011,8,21-FEB-2011,62.03,1771,0,0,Supa_2011_821-FEB-2011
707,Supa,2011,8,22-FEB-2011,61.72,1770.61,625,0,Supa_2011_822-FEB-2011
708,Supa,2011,8,23-FEB-2011,61.45,1770.25,540,0,Supa_2011_823-FEB-2011
709,Supa,2011,8,24-FEB-2011,61.18,1769.89,531,0,Supa_2011_824-FEB-2011
710,Supa,2011,8,25-FEB-2011,60.85,1769.49,274,0,Supa_2011_825-FEB-2011
795,Supa,2011,9,26-FEB-2011,60.52,1769.07,19,0,Supa_2011_926-FEB-2011
796,Supa,2011,9,27-FEB-2011,60.23,1768.67,5.50,0,Supa_2011_927-FEB-2011
797,Supa,2011,9,28-FEB-2011,59.91,1768.25,355,0,Supa_2011_928-FEB-2011
798,Supa,2011,9,01-MAR-2011,59.58,1767.82,233,0,Supa_2011_901-MAR-2011
799,Supa,2011,9,02-MAR-2011,59.21,1767.36,265,0,Supa_2011_902-MAR-2011
800,Supa,2011,9,03-MAR-2011,58.88,1766.94,41,0,Supa_2011_903-MAR-2011
801,Supa,2011,9,04-MAR-2011,58.56,1766.51,249,0,Supa_2011_904-MAR-2011
886,Supa,2011,10,05-MAR-2011,58.14,1765.95,460,0,Supa_2011_1005-MAR-2011
887,Supa,2011,10,06-MAR-2011,57.72,1765.39,490,0,Supa_2011_1006-MAR-2011
888,Supa,2011,10,07-MAR-2011,57.28,1764.80,184,0,Supa_2011_1007-MAR-2011
889,Supa,2011,10,08-MAR-2011,56.83,1764.21,290,0,Supa_2011_1008-MAR-2011
890,Supa,2011,10,09-MAR-2011,56.43,1763.69,1042,0,Supa_2011_1009-MAR-2011
891,Supa,2011,10,10-MAR-2011,55.97,1763.07,0,0,Supa_2011_1010-MAR-2011
892,Supa,2011,10,11-MAR-2011,55.50,1762.44,241,0,Supa_2011_1011-MAR-2011
977,Supa,2011,11,12-MAR-2011,55.08,1761.88,20,0,Supa_2011_1112-MAR-2011
978,Supa,2011,11,13-MAR-2011,54.66,1761.33,495,0,Supa_2011_1113-MAR-2011
979,Supa,2011,11,14-MAR-2011,54.21,1760.74,192,0,Supa_2011_1114-MAR-2011
980,Supa,2011,11,15-MAR-2011,53.77,536.63,225,0,Supa_2011_1115-MAR-2011
981,Supa,2011,11,16-MAR-2011,53.20,1759.56,270,0,Supa_2011_1116-MAR-2011
982,Supa,2011,11,17-MAR-2011,52.89,1758.97,0,0,Supa_2011_1117-MAR-2011
983,Supa,2011,11,18-MAR-2011,52.56,1758.51,0,0,Supa_2011_1118-MAR-2011
1068,Supa,2011,12,19-MAR-2011,52.24,1758.08,0,0,Supa_2011_1219-MAR-2011
1069,Supa,2011,12,20-MAR-2011,51.90,1757.62,237,0,Supa_2011_1220-MAR-2011
1070,Supa,2011,12,21-MAR-2011,51.50,1757.10,0,0,Supa_2011_1221-MAR-2011
1071,Supa,2011,12,22-MAR-2011,51.13,1756.60,270,0,Supa_2011_1222-MAR-2011
1072,Supa,2011,12,23-MAR-2011,50.75,1756.05,0,0,Supa_2011_1223-MAR-2011
1073,Supa,2011,12,24-MAR-2011,50.38,1755.55,221,0,Supa_2011_1224-MAR-2011
1074,Supa,2011,12,25-MAR-2011,50,1755.06,0,0,Supa_2011_1225-MAR-2011
1159,Supa,2011,13,26-MAR-2011,49.66,1754.57,360,0,Supa_2011_1326-MAR-2011
1160,Supa,2011,13,27-MAR-2011,49.40,1754.21,70,0,Supa_2011_1327-MAR-2011
1161,Supa,2011,13,28-MAR-2011,49.15,1753.88,327,0,Supa_2011_1328-MAR-2011
1162,Supa,2011,13,29-MAR-2011,48.77,1753.36,0,0,Supa_2011_1329-MAR-2011
1163,Supa,2011,13,30-MAR-2011,48.37,1752.80,0,0,Supa_2011_1330-MAR-2011
1164,Supa,2011,13,31-MAR-2011,47.96,1752.21,278,0,Supa_2011_1331-MAR-2011
1165,Supa,2011,13,01-APR-2011,47.49,1751.59,18,0,Supa_2011_1301-APR-2011
1250,Supa,2011,14,02-APR-2011,47.23,1751.19,0,0,Supa_2011_1402-APR-2011
