SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
51,K.R.S,2011,1,01-JAN-2011,46.42,122.59,2029,2000,K.R.S_2011_101-JAN-2011
52,K.R.S,2011,1,02-JAN-2011,46.54,122.68,3084,1490,K.R.S_2011_102-JAN-2011
53,K.R.S,2011,1,03-JAN-2011,46.64,122.75,2776,1491,K.R.S_2011_103-JAN-2011
54,K.R.S,2011,1,04-JAN-2011,46.69,122.79,2311,1491,K.R.S_2011_104-JAN-2011
55,K.R.S,2011,1,05-JAN-2011,46.70,122.80,1847,1491,K.R.S_2011_105-JAN-2011
56,K.R.S,2011,1,06-JAN-2011,46.74,122.83,2156,1491,K.R.S_2011_106-JAN-2011
57,K.R.S,2011,1,07-JAN-2011,46.76,122.84,1847,1491,K.R.S_2011_107-JAN-2011
135,K.R.S,2011,2,08-JAN-2011,46.78,122.86,2002,1491,K.R.S_2011_208-JAN-2011
136,K.R.S,2011,2,09-JAN-2011,46.77,122.85,1537,1491,K.R.S_2011_209-JAN-2011
137,K.R.S,2011,2,10-JAN-2011,46.74,122.83,1382,1491,K.R.S_2011_210-JAN-2011
138,K.R.S,2011,2,11-JAN-2011,46.70,122.80,1228,1491,K.R.S_2011_211-JAN-2011
139,K.R.S,2011,2,12-JAN-2011,46.45,122.61,1530,4272,K.R.S_2011_212-JAN-2011
140,K.R.S,2011,2,13-JAN-2011,46.45,122.61,1530,4272,K.R.S_2011_213-JAN-2011
141,K.R.S,2011,2,14-JAN-2011,46.13,122.37,1667,5183,K.R.S_2011_214-JAN-2011
219,K.R.S,2011,3,15-JAN-2011,45.77,122.10,1184,5164,K.R.S_2011_315-JAN-2011
220,K.R.S,2011,3,16-JAN-2011,45.45,121.86,1651,5123,K.R.S_2011_316-JAN-2011
221,K.R.S,2011,3,17-JAN-2011,45.17,121.65,2103,5104,K.R.S_2011_317-JAN-2011
222,K.R.S,2011,3,18-JAN-2011,44.95,121.48,2694,5089,K.R.S_2011_318-JAN-2011
223,K.R.S,2011,3,19-JAN-2011,44.69,121.28,2205,5055,K.R.S_2011_319-JAN-2011
224,K.R.S,2011,3,20-JAN-2011,44.44,121.09,2351,5049,K.R.S_2011_320-JAN-2011
225,K.R.S,2011,3,21-JAN-2011,44.20,120.90,2347,5014,K.R.S_2011_321-JAN-2011
305,K.R.S,2011,4,22-JAN-2011,43.94,120.70,2211,4998,K.R.S_2011_422-JAN-2011
306,K.R.S,2011,4,23-JAN-2011,43.68,120.50,2195,4982,K.R.S_2011_423-JAN-2011
307,K.R.S,2011,4,24-JAN-2011,43.45,120.32,2455,4946,K.R.S_2011_424-JAN-2011
308,K.R.S,2011,4,25-JAN-2011,43.16,120.09,1709,4941,K.R.S_2011_425-JAN-2011
309,K.R.S,2011,4,26-JAN-2011,42.59,119.64,1874,4891,K.R.S_2011_426-JAN-2011
310,K.R.S,2011,4,27-JAN-2011,42.59,119.64,1874,4891,K.R.S_2011_427-JAN-2011
311,K.R.S,2011,4,28-JAN-2011,42.34,119.44,2149,4618,K.R.S_2011_428-JAN-2011
396,K.R.S,2011,5,29-JAN-2011,42.05,119.21,1682,4844,K.R.S_2011_529-JAN-2011
