SL_NO,RESERVOIR,YEAR,WEEK_NO,FLOW_DATE,PRESENT_STORAGE_TMC,RES_LEVEL_FT,INFLOW_CUSECS,OUTFLOW_CUECS,UNIQUE_KEY
86,Tungabhadra,2011,1,01-JAN-2011,91.07,1629.57,-763,7929,Tungabhadra_2011_101-JAN-2011
87,Tungabhadra,2011,1,02-JAN-2011,90.35,1629.38,-184,7696,Tungabhadra_2011_102-JAN-2011
88,Tungabhadra,2011,1,03-JAN-2011,89.68,1629.20,-30,7472,Tungabhadra_2011_103-JAN-2011
89,Tungabhadra,2011,1,04-JAN-2011,89,1629.02,145,7648,Tungabhadra_2011_104-JAN-2011
90,Tungabhadra,2011,1,05-JAN-2011,88.33,1628.84,289,7682,Tungabhadra_2011_105-JAN-2011
91,Tungabhadra,2011,1,06-JAN-2011,87.63,1628.65,-127,7682,Tungabhadra_2011_106-JAN-2011
92,Tungabhadra,2011,1,07-JAN-2011,86.92,1628.46,72,7682,Tungabhadra_2011_107-JAN-2011
170,Tungabhadra,2011,2,08-JAN-2011,86.19,1628.26,-613,7682,Tungabhadra_2011_208-JAN-2011
171,Tungabhadra,2011,2,09-JAN-2011,85.40,1628.05,89,8758,Tungabhadra_2011_209-JAN-2011
172,Tungabhadra,2011,2,10-JAN-2011,84.56,1627.82,-679,8725,Tungabhadra_2011_210-JAN-2011
173,Tungabhadra,2011,2,11-JAN-2011,83.69,1627.58,-661,9131,Tungabhadra_2011_211-JAN-2011
174,Tungabhadra,2011,2,12-JAN-2011,82.74,1627.32,-844,9738,Tungabhadra_2011_212-JAN-2011
175,Tungabhadra,2011,2,13-JAN-2011,81.75,1627.05,-688,10262,Tungabhadra_2011_213-JAN-2011
176,Tungabhadra,2011,2,14-JAN-2011,80.78,1626.78,-587,10269,Tungabhadra_2011_214-JAN-2011
256,Tungabhadra,2011,3,15-JAN-2011,79.78,1626.56,-1097,10142,Tungabhadra_2011_315-JAN-2011
257,Tungabhadra,2011,3,16-JAN-2011,78.74,1626.21,-1827,9883,Tungabhadra_2011_316-JAN-2011
258,Tungabhadra,2011,3,17-JAN-2011,77.70,1625.92,-1788,9816,Tungabhadra_2011_317-JAN-2011
259,Tungabhadra,2011,3,18-JAN-2011,76.65,1625.62,-2523,9404,Tungabhadra_2011_318-JAN-2011
260,Tungabhadra,2011,3,19-JAN-2011,75.62,1625.33,-2025,9442,Tungabhadra_2011_319-JAN-2011
261,Tungabhadra,2011,3,20-JAN-2011,74.56,1625.03,-1621,10256,Tungabhadra_2011_320-JAN-2011
